134	-1001.35	796.4408
135	-1003.9	1274.5
141	296	-1099
142	308.562	-518.285
143	322.5	117.2
144	331	781.9941
145	343.798	1301.1392
151	1656	-1254
152	1680.839	-638.423
153	1709.999	48.66
154	1733.917	767.1623
155	1755	1333.5
210	-1619.7	-688.3
211	-1624.9038	-165.509
212	-1629.9118	365.702
213	-1633.707	875.708
214	-1636.8	1414.7
220	53.626	-919.232
221	65.35	-345.098
222	75.08	272.229
223	86.5	897.2
310	-2104.5	-480.5
312	-2117.16537	388.091
313	-2124.5	823.1
314	-2131	1298
320	-1351.7532	-561.319
321	-1353.4761	-113.496
322	-1354.7	351.5
323	-1355.8	803.2
324	-1358	1316
331	-402.5	-190.5
332	-399.213	278.793
333	-396.407	750.0176
334	-390.462	1141.9322
340	605	-720
342	629.5	252.5
343	639.561	776.3965
344	650.522	1199.0166
350	1984.497	-842.974
351	2006.501	-361.725
352	2032.5	189
353	2055.364	748.9896
354	2075.7	1210.6
400	-1790.5	-484
401	-1803	105
402	-1814.3975	673.5446
403	-1825.4883	1252.982
422	-842.5	656
423	-849.769	1270.4484
430	-331.8	-627.7
431	-319.885	8.472
432	-308.5	641.5
433	-294.979	1283.831
450	926	-753
452	981.5	621
453	1014.257	1310.5775
460	1602.5	-821
461	1651.603	-103.166
462	1672.006	606.7797
